ID,OTC_ID,Text_ID,Sentence_Number,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Language_ID,Metalanguage_ID,LGR_Conformance,Abbreviations
otc2-muyu007-a4211,sout2940a,muyu007,1,Edo otbop.,edo	otbop,DEM.this	story,This is a story.,sout2940,stan1293,WORD_ALIGNED,"{""ADV"":""adverbaliser"",""ASS.PL"":""associative plural"",""AUX"":""auxiliary"",""BI"":""Bahasa Indonesia"",""CAUS"":""causative"",""COM"":""comitative"",""CONJ"":""conjunction"",""CONT"":""continuative"",""CONTR"":""contrastive"",""COP"":""copula"",""DEM"":""demonstrative"",""DIR"":""directive"",""DS"":""different subject"",""DUR"":""durative"",""EMPH"":""emphatic"",""EP"":""epenthetic"",""EPN"":""epenthetic nasal"",""EPV"":""epenthetic vowel"",""EXP"":""experiencer"",""F"":""feminine"",""IMP"":""imperative"",""INF"":""infinitive"",""INTJ"":""interjection"",""INV"":""invisible"",""IRR"":""irrealis"",""HES"":""hesitation"",""LNK"":""linker"",""LV"":""lightverb"",""M"":""masculine"",""MOD"":""modal"",""N"":""n-participle"",""NEG"":""negation"",""OBL"":""oblique"",""ONOM"":""onomatopoeia"",""PFV"":""perfective"",""PL.O"":""pluralobject (=verbalnumber)"",""PN"":""proper noun"",""POSS"":""possessive"",""PROHIB"":""prohibitive"",""PTC"":""particle"",""Q"":""question"",""QUOT"":""quotative"",""RCV"":""receiver"",""RED"":""reduplication"",""SBJV"":""subjunctive"",""SEQ"":""sequential in order"",""SG.O"":""singularobject (=verbalnumber)"",""SM"":""serial marker"",""SPEC"":""specific"",""SS"":""same subject"",""VBLZ"":""verbalizer""}"
otc2-muyu007-a152,sout2940a,muyu007,2,Wot aip keluden ye otbop.,wot	aip	kel-u-den	ye	otbop,moon	there_is	become-3SG.F-PFV	3SG.M	story,A story (about how) the moon came into being.,sout2940,stan1293,WORD_ALIGNED,"{""ADV"":""adverbaliser"",""ASS.PL"":""associative plural"",""AUX"":""auxiliary"",""BI"":""Bahasa Indonesia"",""CAUS"":""causative"",""COM"":""comitative"",""CONJ"":""conjunction"",""CONT"":""continuative"",""CONTR"":""contrastive"",""COP"":""copula"",""DEM"":""demonstrative"",""DIR"":""directive"",""DS"":""different subject"",""DUR"":""durative"",""EMPH"":""emphatic"",""EP"":""epenthetic"",""EPN"":""epenthetic nasal"",""EPV"":""epenthetic vowel"",""EXP"":""experiencer"",""F"":""feminine"",""IMP"":""imperative"",""INF"":""infinitive"",""INTJ"":""interjection"",""INV"":""invisible"",""IRR"":""irrealis"",""HES"":""hesitation"",""LNK"":""linker"",""LV"":""lightverb"",""M"":""masculine"",""MOD"":""modal"",""N"":""n-participle"",""NEG"":""negation"",""OBL"":""oblique"",""ONOM"":""onomatopoeia"",""PFV"":""perfective"",""PL.O"":""pluralobject (=verbalnumber)"",""PN"":""proper noun"",""POSS"":""possessive"",""PROHIB"":""prohibitive"",""PTC"":""particle"",""Q"":""question"",""QUOT"":""quotative"",""RCV"":""receiver"",""RED"":""reduplication"",""SBJV"":""subjunctive"",""SEQ"":""sequential in order"",""SG.O"":""singularobject (=verbalnumber)"",""SM"":""serial marker"",""SPEC"":""specific"",""SS"":""same subject"",""VBLZ"":""verbalizer""}"
otc2-muyu007-a153,sout2940a,muyu007,3,Ege olalane keman eyen.,ege	olal-an-e	kem-an	eyen,DEM.here	talk-IRR-SM	AUX-1SG	this_is,This is what I want to tell.,sout2940,stan1293,WORD_ALIGNED,"{""ADV"":""adverbaliser"",""ASS.PL"":""associative plural"",""AUX"":""auxiliary"",""BI"":""Bahasa Indonesia"",""CAUS"":""causative"",""COM"":""comitative"",""CONJ"":""conjunction"",""CONT"":""continuative"",""CONTR"":""contrastive"",""COP"":""copula"",""DEM"":""demonstrative"",""DIR"":""directive"",""DS"":""different subject"",""DUR"":""durative"",""EMPH"":""emphatic"",""EP"":""epenthetic"",""EPN"":""epenthetic nasal"",""EPV"":""epenthetic vowel"",""EXP"":""experiencer"",""F"":""feminine"",""IMP"":""imperative"",""INF"":""infinitive"",""INTJ"":""interjection"",""INV"":""invisible"",""IRR"":""irrealis"",""HES"":""hesitation"",""LNK"":""linker"",""LV"":""lightverb"",""M"":""masculine"",""MOD"":""modal"",""N"":""n-participle"",""NEG"":""negation"",""OBL"":""oblique"",""ONOM"":""onomatopoeia"",""PFV"":""perfective"",""PL.O"":""pluralobject (=verbalnumber)"",""PN"":""proper noun"",""POSS"":""possessive"",""PROHIB"":""prohibitive"",""PTC"":""particle"",""Q"":""question"",""QUOT"":""quotative"",""RCV"":""receiver"",""RED"":""reduplication"",""SBJV"":""subjunctive"",""SEQ"":""sequential in order"",""SG.O"":""singularobject (=verbalnumber)"",""SM"":""serial marker"",""SPEC"":""specific"",""SS"":""same subject"",""VBLZ"":""verbalizer""}"
otc2-muyu007-a154,sout2940a,muyu007,4,"Adon mim ko, kon, yu kawupki yom, yi alop mo tiodonip.",adon	mim	=ko		kon		yu	kawupki	yom		yi	alop	mo	tio-d-o-n-ip,sun	one	=PTC		woman		3SG.F	brother	and		3PL	two	only	live-DUR-EPV-SS-2/3PL,"Once upon a time, a woman was living with her brother.",sout2940,stan1293,WORD_ALIGNED,"{""ADV"":""adverbaliser"",""ASS.PL"":""associative plural"",""AUX"":""auxiliary"",""BI"":""Bahasa Indonesia"",""CAUS"":""causative"",""COM"":""comitative"",""CONJ"":""conjunction"",""CONT"":""continuative"",""CONTR"":""contrastive"",""COP"":""copula"",""DEM"":""demonstrative"",""DIR"":""directive"",""DS"":""different subject"",""DUR"":""durative"",""EMPH"":""emphatic"",""EP"":""epenthetic"",""EPN"":""epenthetic nasal"",""EPV"":""epenthetic vowel"",""EXP"":""experiencer"",""F"":""feminine"",""IMP"":""imperative"",""INF"":""infinitive"",""INTJ"":""interjection"",""INV"":""invisible"",""IRR"":""irrealis"",""HES"":""hesitation"",""LNK"":""linker"",""LV"":""lightverb"",""M"":""masculine"",""MOD"":""modal"",""N"":""n-participle"",""NEG"":""negation"",""OBL"":""oblique"",""ONOM"":""onomatopoeia"",""PFV"":""perfective"",""PL.O"":""pluralobject (=verbalnumber)"",""PN"":""proper noun"",""POSS"":""possessive"",""PROHIB"":""prohibitive"",""PTC"":""particle"",""Q"":""question"",""QUOT"":""quotative"",""RCV"":""receiver"",""RED"":""reduplication"",""SBJV"":""subjunctive"",""SEQ"":""sequential in order"",""SG.O"":""singularobject (=verbalnumber)"",""SM"":""serial marker"",""SPEC"":""specific"",""SS"":""same subject"",""VBLZ"":""verbalizer""}"
otc2-muyu007-a155,sout2940a,muyu007,5,Wene om bat winipten.,wen-e	om	bat	win-ip-ten,go-SM	sago	hunt	go-2/3PL-PFV,They went to find sago.,sout2940,stan1293,WORD_ALIGNED,"{""ADV"":""adverbaliser"",""ASS.PL"":""associative plural"",""AUX"":""auxiliary"",""BI"":""Bahasa Indonesia"",""CAUS"":""causative"",""COM"":""comitative"",""CONJ"":""conjunction"",""CONT"":""continuative"",""CONTR"":""contrastive"",""COP"":""copula"",""DEM"":""demonstrative"",""DIR"":""directive"",""DS"":""different subject"",""DUR"":""durative"",""EMPH"":""emphatic"",""EP"":""epenthetic"",""EPN"":""epenthetic nasal"",""EPV"":""epenthetic vowel"",""EXP"":""experiencer"",""F"":""feminine"",""IMP"":""imperative"",""INF"":""infinitive"",""INTJ"":""interjection"",""INV"":""invisible"",""IRR"":""irrealis"",""HES"":""hesitation"",""LNK"":""linker"",""LV"":""lightverb"",""M"":""masculine"",""MOD"":""modal"",""N"":""n-participle"",""NEG"":""negation"",""OBL"":""oblique"",""ONOM"":""onomatopoeia"",""PFV"":""perfective"",""PL.O"":""pluralobject (=verbalnumber)"",""PN"":""proper noun"",""POSS"":""possessive"",""PROHIB"":""prohibitive"",""PTC"":""particle"",""Q"":""question"",""QUOT"":""quotative"",""RCV"":""receiver"",""RED"":""reduplication"",""SBJV"":""subjunctive"",""SEQ"":""sequential in order"",""SG.O"":""singularobject (=verbalnumber)"",""SM"":""serial marker"",""SPEC"":""specific"",""SS"":""same subject"",""VBLZ"":""verbalizer""}"
otc2-muyu007-a156,sout2940a,muyu007,6,"Om bat wene, tut a, om tut bon wenonip.",om	bat	wen-e		tut	=a		om	tut	bon	weno-n-ip,sago	hunt	go-SM		forest	=LNK		sago	forest	place	go-SS-2/3PL,"They went to find sago, they went to the sago place in the forest.",sout2940,stan1293,WORD_ALIGNED,"{""ADV"":""adverbaliser"",""ASS.PL"":""associative plural"",""AUX"":""auxiliary"",""BI"":""Bahasa Indonesia"",""CAUS"":""causative"",""COM"":""comitative"",""CONJ"":""conjunction"",""CONT"":""continuative"",""CONTR"":""contrastive"",""COP"":""copula"",""DEM"":""demonstrative"",""DIR"":""directive"",""DS"":""different subject"",""DUR"":""durative"",""EMPH"":""emphatic"",""EP"":""epenthetic"",""EPN"":""epenthetic nasal"",""EPV"":""epenthetic vowel"",""EXP"":""experiencer"",""F"":""feminine"",""IMP"":""imperative"",""INF"":""infinitive"",""INTJ"":""interjection"",""INV"":""invisible"",""IRR"":""irrealis"",""HES"":""hesitation"",""LNK"":""linker"",""LV"":""lightverb"",""M"":""masculine"",""MOD"":""modal"",""N"":""n-participle"",""NEG"":""negation"",""OBL"":""oblique"",""ONOM"":""onomatopoeia"",""PFV"":""perfective"",""PL.O"":""pluralobject (=verbalnumber)"",""PN"":""proper noun"",""POSS"":""possessive"",""PROHIB"":""prohibitive"",""PTC"":""particle"",""Q"":""question"",""QUOT"":""quotative"",""RCV"":""receiver"",""RED"":""reduplication"",""SBJV"":""subjunctive"",""SEQ"":""sequential in order"",""SG.O"":""singularobject (=verbalnumber)"",""SM"":""serial marker"",""SPEC"":""specific"",""SS"":""same subject"",""VBLZ"":""verbalizer""}"
otc2-muyu007-a157,sout2940a,muyu007,7,Wenonip wene om ambanggaip.,weno-n-ip	wen-e	om	ambangga-ip,go-SS-2/3PL	go-SM	sago	work-2/3PL,They went (there) and they made sago.,sout2940,stan1293,WORD_ALIGNED,"{""ADV"":""adverbaliser"",""ASS.PL"":""associative plural"",""AUX"":""auxiliary"",""BI"":""Bahasa Indonesia"",""CAUS"":""causative"",""COM"":""comitative"",""CONJ"":""conjunction"",""CONT"":""continuative"",""CONTR"":""contrastive"",""COP"":""copula"",""DEM"":""demonstrative"",""DIR"":""directive"",""DS"":""different subject"",""DUR"":""durative"",""EMPH"":""emphatic"",""EP"":""epenthetic"",""EPN"":""epenthetic nasal"",""EPV"":""epenthetic vowel"",""EXP"":""experiencer"",""F"":""feminine"",""IMP"":""imperative"",""INF"":""infinitive"",""INTJ"":""interjection"",""INV"":""invisible"",""IRR"":""irrealis"",""HES"":""hesitation"",""LNK"":""linker"",""LV"":""lightverb"",""M"":""masculine"",""MOD"":""modal"",""N"":""n-participle"",""NEG"":""negation"",""OBL"":""oblique"",""ONOM"":""onomatopoeia"",""PFV"":""perfective"",""PL.O"":""pluralobject (=verbalnumber)"",""PN"":""proper noun"",""POSS"":""possessive"",""PROHIB"":""prohibitive"",""PTC"":""particle"",""Q"":""question"",""QUOT"":""quotative"",""RCV"":""receiver"",""RED"":""reduplication"",""SBJV"":""subjunctive"",""SEQ"":""sequential in order"",""SG.O"":""singularobject (=verbalnumber)"",""SM"":""serial marker"",""SPEC"":""specific"",""SS"":""same subject"",""VBLZ"":""verbalizer""}"
otc2-muyu007-a158,sout2940a,muyu007,8,"Adon nakon, adon mim kedonip.",adon	nak-on		adon	mim	kedon-ip,sun	day_break-3SG.M		sun	one	start_to-2/3PL,"The next day, they got up.",sout2940,stan1293,WORD_ALIGNED,"{""ADV"":""adverbaliser"",""ASS.PL"":""associative plural"",""AUX"":""auxiliary"",""BI"":""Bahasa Indonesia"",""CAUS"":""causative"",""COM"":""comitative"",""CONJ"":""conjunction"",""CONT"":""continuative"",""CONTR"":""contrastive"",""COP"":""copula"",""DEM"":""demonstrative"",""DIR"":""directive"",""DS"":""different subject"",""DUR"":""durative"",""EMPH"":""emphatic"",""EP"":""epenthetic"",""EPN"":""epenthetic nasal"",""EPV"":""epenthetic vowel"",""EXP"":""experiencer"",""F"":""feminine"",""IMP"":""imperative"",""INF"":""infinitive"",""INTJ"":""interjection"",""INV"":""invisible"",""IRR"":""irrealis"",""HES"":""hesitation"",""LNK"":""linker"",""LV"":""lightverb"",""M"":""masculine"",""MOD"":""modal"",""N"":""n-participle"",""NEG"":""negation"",""OBL"":""oblique"",""ONOM"":""onomatopoeia"",""PFV"":""perfective"",""PL.O"":""pluralobject (=verbalnumber)"",""PN"":""proper noun"",""POSS"":""possessive"",""PROHIB"":""prohibitive"",""PTC"":""particle"",""Q"":""question"",""QUOT"":""quotative"",""RCV"":""receiver"",""RED"":""reduplication"",""SBJV"":""subjunctive"",""SEQ"":""sequential in order"",""SG.O"":""singularobject (=verbalnumber)"",""SM"":""serial marker"",""SPEC"":""specific"",""SS"":""same subject"",""VBLZ"":""verbalizer""}"
otc2-muyu007-a159,sout2940a,muyu007,9,Om wio kombipten.,om	wi-o	komb-ip-ten,sago	cut_down_tree:SG.O-SM	fell-2/3PL-PFV,They fell a sago tree.,sout2940,stan1293,WORD_ALIGNED,"{""ADV"":""adverbaliser"",""ASS.PL"":""associative plural"",""AUX"":""auxiliary"",""BI"":""Bahasa Indonesia"",""CAUS"":""causative"",""COM"":""comitative"",""CONJ"":""conjunction"",""CONT"":""continuative"",""CONTR"":""contrastive"",""COP"":""copula"",""DEM"":""demonstrative"",""DIR"":""directive"",""DS"":""different subject"",""DUR"":""durative"",""EMPH"":""emphatic"",""EP"":""epenthetic"",""EPN"":""epenthetic nasal"",""EPV"":""epenthetic vowel"",""EXP"":""experiencer"",""F"":""feminine"",""IMP"":""imperative"",""INF"":""infinitive"",""INTJ"":""interjection"",""INV"":""invisible"",""IRR"":""irrealis"",""HES"":""hesitation"",""LNK"":""linker"",""LV"":""lightverb"",""M"":""masculine"",""MOD"":""modal"",""N"":""n-participle"",""NEG"":""negation"",""OBL"":""oblique"",""ONOM"":""onomatopoeia"",""PFV"":""perfective"",""PL.O"":""pluralobject (=verbalnumber)"",""PN"":""proper noun"",""POSS"":""possessive"",""PROHIB"":""prohibitive"",""PTC"":""particle"",""Q"":""question"",""QUOT"":""quotative"",""RCV"":""receiver"",""RED"":""reduplication"",""SBJV"":""subjunctive"",""SEQ"":""sequential in order"",""SG.O"":""singularobject (=verbalnumber)"",""SM"":""serial marker"",""SPEC"":""specific"",""SS"":""same subject"",""VBLZ"":""verbalizer""}"
otc2-muyu007-a160,sout2940a,muyu007,10,"Wine kombe, alumip.",win-e	komb-e		alum-ip,cut_down_tree:SG.O-SM	put:SG.O-SM		chop_sago-2/3PL,They fell the tree and chopped sago.,sout2940,stan1293,WORD_ALIGNED,"{""ADV"":""adverbaliser"",""ASS.PL"":""associative plural"",""AUX"":""auxiliary"",""BI"":""Bahasa Indonesia"",""CAUS"":""causative"",""COM"":""comitative"",""CONJ"":""conjunction"",""CONT"":""continuative"",""CONTR"":""contrastive"",""COP"":""copula"",""DEM"":""demonstrative"",""DIR"":""directive"",""DS"":""different subject"",""DUR"":""durative"",""EMPH"":""emphatic"",""EP"":""epenthetic"",""EPN"":""epenthetic nasal"",""EPV"":""epenthetic vowel"",""EXP"":""experiencer"",""F"":""feminine"",""IMP"":""imperative"",""INF"":""infinitive"",""INTJ"":""interjection"",""INV"":""invisible"",""IRR"":""irrealis"",""HES"":""hesitation"",""LNK"":""linker"",""LV"":""lightverb"",""M"":""masculine"",""MOD"":""modal"",""N"":""n-participle"",""NEG"":""negation"",""OBL"":""oblique"",""ONOM"":""onomatopoeia"",""PFV"":""perfective"",""PL.O"":""pluralobject (=verbalnumber)"",""PN"":""proper noun"",""POSS"":""possessive"",""PROHIB"":""prohibitive"",""PTC"":""particle"",""Q"":""question"",""QUOT"":""quotative"",""RCV"":""receiver"",""RED"":""reduplication"",""SBJV"":""subjunctive"",""SEQ"":""sequential in order"",""SG.O"":""singularobject (=verbalnumber)"",""SM"":""serial marker"",""SPEC"":""specific"",""SS"":""same subject"",""VBLZ"":""verbalizer""}"
